iter	Passed	Remaining
399	20596	30894
400	20621	30803
401	20652	30721
402	20679	30634
403	20703	30542
404	20732	30458
405	20758	30370
406	20784	30283
407	20815	30203
408	20843	30118
409	20869	30031
410	20896	29946
411	20925	29863
412	20958	29787
413	21010	29739
414	21096	29738
415	21139	29675
416	21164	29589
417	21192	29506
418	21215	29418
419	21244	29338
420	21274	29258
421	21314	29193
422	21362	29139
423	21398	29069
424	21436	29002
425	21461	28917
426	21486	28833
427	21509	28746
428	21536	28665
429	21562	28582
430	21591	28505
431	21619	28426
432	21648	28348
433	21676	28268
434	21721	28212
435	21752	28138
436	21793	28077
437	21829	28010
438	21863	27939
439	21888	27858
440	21916	27780
441	21940	27698
442	21970	27623
443	21995	27543
444	22020	27463
445	22043	27381
446	22070	27304
447	22132	27269
448	22175	27213
449	22230	27170
450	22284	27126
451	22312	27052
452	22348	26986
453	22380	26915
454	22410	26843
455	22446	26777
456	22474	26703
457	22500	26627
458	22536	26562
459	22570	26496
460	22595	26418
461	22629	26352
462	22658	26279
463	22687	26208
464	22715	26135
465	22742	26060
466	22783	26003
467	22829	25951
468	22868	25892
469	22910	25834
470	22945	25771
471	22975	25700
472	23001	25627
473	23036	25563
474	23067	25495
475	23097	25426
476	23142	25374
477	23175	25308
478	23204	25238
479	23231	25167
480	23265	25103
481	23319	25061
482	23396	25043
483	23453	25004
484	23488	24941
485	23525	24880
486	23575	24834
487	23640	24802
488	23691	24757
489	23729	24698
490	23758	24629
491	23789	24563
492	23827	24504
493	23862	24442
494	23888	24371
495	23914	24300
496	23942	24231
497	23968	24160
498	23995	24091
499	24020	24020
500	24048	23952
501	24075	23883
502	24102	23815
503	24132	23749
504	24159	23680
505	24185	23612
506	24219	23550
507	24251	23487
508	24276	23418
509	24302	23349
510	24329	23281
511	24357	23215
512	24387	23151
513	24413	23083
514	24444	23020
515	24474	22956
516	24519	22907
517	24574	22866
518	24615	22812
519	24663	22765
520	24715	22722
521	24753	22666
522	24788	22608
523	24815	22542
524	24851	22484
525	24880	22420
526	24908	22356
527	24937	22292
528	24975	22236
529	25002	22172
530	25027	22105
531	25056	22042
532	25089	21982
533	25114	21916
534	25139	21850
535	25165	21785
536	25190	21719
537	25219	21657
538	25242	21589
539	25269	21525
540	25295	21461
541	25320	21396
542	25347	21332
543	25371	21267
544	25400	21206
545	25445	21158
546	25508	21124
547	25561	21083
548	25605	21034
549	25639	20977
550	25688	20933
551	25714	20869
552	25741	20807
553	25781	20755
554	25816	20699
555	25855	20647
556	25894	20594
557	25928	20538
558	25955	20476
559	25995	20425
560	26027	20367
561	26063	20312
562	26097	20256
563	26125	20196
564	26151	20134
565	26176	20071
566	26202	20009
567	26229	19949
568	26264	19894
569	26297	19838
570	26339	19788
571	26364	19727
572	26398	19672
573	26431	19616
574	26465	19561
575	26495	19503
576	26526	19446
577	26550	19384
578	26587	19332
579	26617	19274
580	26652	19220
581	26706	19181
582	26764	19143
583	26840	19119
584	26873	19063
585	26899	19004
586	26925	18944
587	26951	18884
588	26978	18825
589	27008	18768
590	27043	18715
591	27073	18659
592	27105	18603
593	27136	18548
594	27169	18493
595	27195	18434
596	27223	18377
597	27252	18320
598	27284	18265
599	27312	18208
600	27337	18149
601	27361	18089
602	27387	18031
603	27413	17973
604	27444	17918
605	27490	17873
606	27537	17829
607	27588	17787
608	27622	17734
609	27650	17678
610	27676	17620
611	27700	17561
612	27723	17502
613	27745	17442
614	27765	17381
615	27786	17321
616	27807	17261
617	27835	17205
618	27867	17152
619	27916	17109
620	27983	17078
621	28015	17025
622	28041	16968
623	28067	16912
624	28110	16866
625	28144	16814
626	28179	16763
627	28206	16708
628	28230	16651
629	28254	16594
630	28280	16538
631	28307	16482
632	28334	16427
633	28360	16372
634	28389	16318
635	28421	16266
636	28446	16210
637	28474	16156
638	28498	16099
639	28545	16056
640	28579	16006
641	28618	15958
642	28655	15909
643	28689	15859
644	28716	15805
645	28741	15749
646	28766	15695
647	28793	15640
648	28831	15592
649	28871	15546
650	28933	15511
651	28989	15473
652	29070	15447
653	29143	15418
654	29186	15373
655	29223	15324
656	29255	15273
657	29286	15222
658	29314	15168
659	29338	15113
660	29366	15060
661	29391	15006
662	29433	14960
663	29472	14913
664	29511	14866
665	29546	14817
666	29574	14765
667	29601	14712
668	29625	14657
669	29651	14604
670	29680	14552
671	29707	14500
672	29731	14446
673	29755	14392
674	29801	14349
675	29864	14313
676	29916	14273
677	29950	14224
678	29981	14173
679	30008	14121
680	30046	14074
681	30078	14024
682	30108	13974
683	30139	13924
684	30193	13884
685	30267	13854
686	30351	13828
687	30385	13779
688	30414	13728
689	30441	13676
690	30472	13626
691	30498	13574
692	30524	13522
693	30549	13469
694	30575	13417
695	30622	13375
696	30673	13334
697	30728	13295
698	30785	13256
699	30812	13205
700	30842	13155
701	30874	13106
702	30906	13057
703	30929	13004
704	30952	12951
705	30980	12901
706	31010	12851
707	31047	12804
708	31093	12761
709	31150	12723
710	31201	12682
711	31236	12634
712	31260	12583
713	31287	12532
714	31312	12481
715	31341	12431
716	31376	12384
717	31439	12347
718	31494	12308
719	31532	12262
720	31568	12215
721	31593	12164
722	31619	12114
723	31648	12064
724	31671	12013
725	31712	11968
726	31741	11919
727	31777	11873
728	31817	11827
729	31862	11784
730	31915	11744
731	31940	11694
732	31965	11643
733	31989	11592
734	32012	11542
735	32037	11491
736	32070	11444
737	32097	11394
738	32122	11345
739	32148	11295
740	32184	11249
741	32216	11202
742	32248	11154
743	32284	11108
744	32337	11068
745	32374	11022
746	32403	10974
747	32429	10925
748	32453	10875
749	32480	10826
750	32509	10778
751	32534	10729
752	32582	10687
753	32641	10649
754	32696	10610
755	32728	10563
756	32776	10521
757	32810	10474
758	32834	10425
759	32861	10377
760	32886	10328
761	32912	10279
762	32936	10230
763	32962	10182
764	32987	10133
765	33010	10084
766	33037	10036
767	33062	9987
768	33089	9939
769	33114	9891
770	33143	9844
771	33189	9801
772	33231	9758
773	33282	9718
774	33315	9672
775	33340	9624
776	33367	9576
777	33392	9528
778	33416	9480
779	33441	9432
780	33467	9384
781	33493	9337
782	33519	9289
783	33544	9241
784	33571	9194
785	33595	9146
786	33621	9099
787	33652	9053
788	33689	9009
789	33763	8975
790	33839	8941
791	33891	8900
792	33924	8855
793	33953	8809
794	33984	8763
795	34021	8719
796	34051	8673
797	34078	8626
798	34102	8579
799	34130	8532
800	34162	8487
801	34187	8440
802	34213	8393
803	34238	8346
804	34274	8302
805	34299	8255
806	34332	8210
807	34373	8168
808	34428	8128
809	34466	8084
810	34509	8042
811	34534	7995
812	34561	7949
813	34590	7904
814	34618	7858
815	34645	7812
816	34672	7766
817	34700	7720
818	34728	7675
819	34754	7629
